ID,Site,Treatment,Position,Year,Comp.1,Comp.2
130,6,Cleared + Scraped,Bottom,2024,-1.6114315885229735,2.3940414731793407
131,7,Cleared + Scraped,Upper,2024,-1.7612503990473183,-0.9614491100644805
132,7,Cleared + Scraped,Bottom,2024,-2.0071762533342845,-0.021354509762742026
133,8,Cleared + Scraped,Upper,2024,-1.647820186925284,-0.8458613725815843
134,8,Cleared + Scraped,Bottom,2024,-1.3131388676749285,2.694347533098999
135,1,Cleared + Scraped + Burned,Upper,2022,-1.7766035367428024,-0.8644517504728949
136,2,Cleared + Scraped + Burned,Upper,2022,-1.6025361660009563,-1.0674127019516175
137,2,Cleared + Scraped + Burned,Bottom,2022,-1.8583449911941126,-0.07586983900701633
138,4,Cleared + Scraped + Burned,Upper,2022,-2.2077592458348114,-0.40961327078942106
139,4,Cleared + Scraped + Burned,Bottom,2022,-2.0201126460489056,-1.0759561262356612
140,5,Cleared + Scraped + Burned,Upper,2022,-2.2264988988671837,-0.5219692231731963
141,5,Cleared + Scraped + Burned,Bottom,2022,-2.3407677122881694,-0.5604934028972809
142,6,Cleared + Scraped + Burned,Upper,2022,-1.7536599495628344,-0.4049483007820906
143,6,Cleared + Scraped + Burned,Bottom,2022,-0.5474131521553527,1.5345625988650984
144,7,Cleared + Scraped + Burned,Upper,2022,-2.0708902851848396,-0.939809459708773
145,7,Cleared + Scraped + Burned,Bottom,2022,-1.654545806930886,-0.4571702171638642
146,8,Cleared + Scraped + Burned,Upper,2022,-2.080338513399905,-1.135504912769954
147,8,Cleared + Scraped + Burned,Bottom,2022,-2.357467032643342,2.1580590202511316
148,1,Cleared + Scraped + Burned,Upper,2023,-1.5746034283092647,-1.089485645943147
149,2,Cleared + Scraped + Burned,Upper,2023,-1.3660141066056966,-0.8640516613893422
150,2,Cleared + Scraped + Burned,Bottom,2023,-0.9945238866772852,-0.2422198446110489
151,4,Cleared + Scraped + Burned,Upper,2023,-1.7911115128987212,-0.8638840945815688
152,4,Cleared + Scraped + Burned,Bottom,2023,-1.6032629146162205,-0.8209979549900361
153,5,Cleared + Scraped + Burned,Upper,2023,-1.6380128175793423,-0.9911505005427013
154,5,Cleared + Scraped + Burned,Bottom,2023,-1.6563145343477204,-0.9356258131863001
155,6,Cleared + Scraped + Burned,Upper,2023,-1.7048202030852477,0.07966634823211366
156,6,Cleared + Scraped + Burned,Bottom,2023,-0.7344203767806717,2.6346368615930977
157,7,Cleared + Scraped + Burned,Upper,2023,-2.0571287101614977,-0.8736409681898077
158,7,Cleared + Scraped + Burned,Bottom,2023,-1.4056836709195546,-0.5077297155576351
159,8,Cleared + Scraped + Burned,Upper,2023,-1.7796346764942297,-0.919347239786328
160,8,Cleared + Scraped + Burned,Bottom,2023,-1.6199540737469524,2.599145599819791
161,1,Cleared + Scraped + Burned,Upper,2024,-1.7595348299107523,-1.0273819092683545
162,2,Cleared + Scraped + Burned,Upper,2024,-2.098379290695392,-0.5290320462264839
163,2,Cleared + Scraped + Burned,Bottom,2024,-1.729141522216444,-0.12796970074742364
164,4,Cleared + Scraped + Burned,Upper,2024,-1.5087202847152779,-1.0296128785684668
165,4,Cleared + Scraped + Burned,Bottom,2024,-2.2422828687451615,-0.5017936264474097
166,5,Cleared + Scraped + Burned,Upper,2024,-1.9999950084832474,-0.36932453178650065
167,5,Cleared + Scraped + Burned,Bottom,2024,-1.9892092538299233,-0.4027185752049241
168,6,Cleared + Scraped + Burned,Upper,2024,-1.9732530786826354,-0.5700660932873861
169,6,Cleared + Scraped + Burned,Bottom,2024,-1.8923249302065235,2.704386135594779
170,7,Cleared + Scraped + Burned,Upper,2024,-1.84160672020665,-0.8260015072369941
171,7,Cleared + Scraped + Burned,Bottom,2024,-2.11536422489454,0.12827239374557037
172,8,Cleared + Scraped + Burned,Upper,2024,-1.6343068992426824,-0.802877810686378
173,8,Cleared + Scraped + Burned,Bottom,2024,-1.597685880261861,1.7903937503721288
174,9,Reference,Bottom,2022,-1.0669113438406796,-0.14706986980354356
175,9,Reference,Upper,2022,-0.18884232804325257,0.406259544757817
176,10,Reference,Bottom,2022,5.1150003542817775,2.7251268559271176
177,10,Reference,Upper,2022,-1.1787139712510926,0.8413283381230269
178,11,Reference,Bottom,2022,0.4475287113818056,1.4930067485727576
179,11,Reference,Upper,2022,-0.20465674289247932,-1.1219258177601072
180,12,Reference,Bottom,2022,0.2849769521100384,1.2084746921735867
181,12,Reference,Upper,2022,-1.2424161105418696,0.848499185001639
182,9,Reference,Bottom,2023,-0.7312286219670407,0.4845951930043741
183,9,Reference,Upper,2023,-0.08785590633787321,1.6461498229566898
184,10,Reference,Bottom,2023,-0.8819935957421319,1.0883778244787754
185,10,Reference,Upper,2023,-0.862863161736853,2.227440538662011
186,11,Reference,Bottom,2023,-0.14652496234839185,1.5789311598398508
187,11,Reference,Upper,2023,-1.062666994459641,1.933343393335588
188,12,Reference,Bottom,2023,-0.8859990260881184,1.8927687586655286
189,12,Reference,Upper,2023,-1.236721222042789,0.5921988160564674
190,9,Reference,Bottom,2024,0.3924189232041026,-0.03130905559999093
191,9,Reference,Upper,2024,-0.0013091202275985064,1.2100886546100968
192,10,Reference,Bottom,2024,-1.1372030887910693,0.30589004888303306
193,10,Reference,Upper,2024,-0.8572518834400452,2.2688833030324838
194,11,Reference,Bottom,2024,-0.19368190385880163,1.4572097216624251
195,11,Reference,Upper,2024,-1.3650259301018886,2.056431586221372
196,12,Reference,Bottom,2024,0.055376339494790615,1.938496797226987
197,12,Reference,Upper,2024,-1.0461827500438468,0.895102391218184
